game_id,jg_result,jg_matchup,jg_k,jg_a,jg_d,jg_cs,jg_op_cs,jg_gold,jg_damage,jg_matchup_strength,top_result,top_matchup,top_k,top_a,top_d,top_cs,top_op_cs,top_gold,top_damage,top_matchup_strength,mid_result,mid_matchup,mid_k,mid_a,mid_d,mid_cs,mid_op_cs,mid_gold,mid_damage,mid_matchup_strength,bot_result,bot_matchup,bot_k,bot_a,bot_d,bot_cs,bot_op_cs,bot_gold,bot_damage,bot_matchup_strength,sup_result,sup_matchup,sup_k,sup_a,sup_d,sup_cs,sup_op_cs,sup_gold,sup_damage,sup_matchup_strength
2019-221Vici GamingSuning,blue loss,"Rek'Sai , Jarvan IV",3.0555555555555554,6.833333333333333,1.3333333333333333,97.58333333333333,83.0,12869.583333333334,8666.25,12.0,blue loss,"Jayce , Neeko",4.5,6.0,1.8333333333333333,145.5,127.0,16682.0,18254.0,6.0,blue loss,"Sylas , Ryze",4.181818181818182,6.7272727272727275,1.8181818181818181,144.125,136.0,15131.5,17888.875,10.0,blue loss,"Sona , Xayah",2.625,12.0,2.0,55.166666666666664,134.33333333333334,12924.333333333334,12084.166666666666,10.0,blue loss,"Tahm Kench , Taric",1.0,11.0,1.5714285714285714,37.0,60.833333333333336,9336.5,5482.0,10.0
2019-251Dominus EsportsVici Gaming,blue win,"Trundle , Olaf",1.625,10.875,1.25,84.66666666666667,95.33333333333333,10537.0,3535.6666666666665,6.0,blue win,"Kennen , Renekton",4.0,6.5,1.0,128.5,124.0,12364.0,12349.0,-4.0,blue win,"Jayce , Ryze",4.8,8.8,2.0,152.5,148.0,12404.0,12146.0,4.0,blue win,"Sivir , Varus",4.8,6.8,1.6,141.75,143.75,16632.0,21914.5,-2.0,blue win,"Lux , Tahm Kench",1.0,11.125,1.0833333333333333,6.666666666666667,28.933333333333334,8279.2,7132.0,2.0
1131131,blue win,"Lee Sin , Sejuani",4.333333333333333,6.666666666666667,2.0,82.0,75.66666666666667,14842.333333333334,9562.0,-10.0,blue win,"Jayce , Yorick",3.5,8.5,1.0,135.0,132.5,18518.5,24158.5,2.0,blue win,"Sylas , Ryze",4.181818181818182,6.7272727272727275,1.8181818181818181,144.125,136.0,15131.5,17888.875,10.0,blue win,"Vayne , Sivir",6.25,5.0,1.25,145.0,136.5,16608.5,26420.0,2.0,blue win,"Nautilus , Galio",0.375,9.0,2.625,25.0,27.333333333333332,9956.0,5192.333333333333,-4.0
1133322,blue win,"Lee Sin , Jarvan IV",3.6,6.6,1.6,82.14285714285714,80.71428571428571,11163.92857142857,7906.928571428572,20.0,blue win,"Sylas , Neeko",3.111111111111111,6.222222222222222,2.111111111111111,132.2,127.0,14482.2,14610.8,2.0,blue win,"Zoe , Corki",3.0,6.8,1.0,140.4,138.8,13232.2,17543.2,8.0,blue win,"Kai'Sa , Sivir",5.875,5.125,1.5625,135.8,137.2,17319.4,15693.6,-4.0,blue win,"Nautilus , Thresh",0.3333333333333333,9.333333333333334,2.0,24.333333333333332,5.0,8963.333333333334,4004.6666666666665,2.0
1128813,blue win,"Lee Sin , Sejuani",4.333333333333333,6.666666666666667,2.0,82.0,75.66666666666667,14842.333333333334,9562.0,-10.0,blue win,"Kennen , Karma",5.0,4.666666666666667,2.0,150.33333333333334,125.33333333333333,19816.333333333332,18442.333333333332,4.0,blue win,"Twisted Fate , Azir",4.0,5.0,2.0,161.0,116.0,21848.0,16875.0,0.0,blue win,"Kai'Sa , Xayah",6.777777777777778,6.277777777777778,1.5555555555555556,132.625,135.25,17546.75,21408.75,10.0,blue win,"Nautilus , Morgana",0.25,8.0,3.5,23.0,6.666666666666667,9421.333333333334,4160.333333333333,-6.0
1123055,blue win,"Rek'Sai , Lee Sin",4.0,7.0,1.8,89.0,84.5,11579.0,7374.75,6.0,blue win,"Kennen , Viktor",3.0,4.0,0.0,131.5,142.0,13590.0,12344.5,-4.0,blue win,"Karma , Azir",3.5,5.5,0.0,142.0,161.0,14444.0,14678.5,0.0,blue win,"Lucian , Kalista",3.5,5.5,2.0,146.0,133.0,14703.0,11452.0,-2.0,blue win,"Yuumi , Nautilus",0.7727272727272727,13.772727272727273,0.8636363636363636,5.066666666666666,23.933333333333334,8563.133333333333,11216.8,4.0
2019-252LNG EsportsLGD Gaming,blue win,"Olaf , Trundle",3.0,6.4,2.0,91.0,82.0,8746.0,4984.0,-6.0,blue win,"Karma , Neeko",0.3333333333333333,7.333333333333333,1.0,141.0,151.0,10232.0,6250.0,4.0,blue win,"Sylas , Azir",3.1666666666666665,7.666666666666667,1.1666666666666667,139.25,132.25,13776.75,14122.0,10.0,blue win,"Xayah , Kai'Sa",5.615384615384615,6.0,0.9230769230769231,140.33333333333334,133.66666666666666,16743.666666666668,19075.0,-10.0,blue win,"Morgana , Nautilus",1.1428571428571428,11.428571428571429,1.4285714285714286,7.5,22.0,8372.5,4993.0,6.0
1144744,blue win,"Sejuani , Gragas",1.9,8.7,0.5,89.8,92.0,10789.4,5812.4,8.0,blue win,"Kennen , Aatrox",2.9,6.2,2.0,129.0,125.7,13568.1,15846.4,-2.0,blue win,"Vladimir , Yasuo",4.0,4.5,1.0,131.0,144.5,12169.0,14821.5,2.0,blue win,"Sona , Xayah",2.625,12.0,2.0,55.166666666666664,134.33333333333334,12924.333333333334,12084.166666666666,10.0,blue win,"Tahm Kench , Rakan",0.5,7.0,0.8571428571428571,40.583333333333336,5.166666666666667,8971.0,4120.166666666667,-2.0
1131722,blue win,"Skarner , Sejuani",3.6666666666666665,10.666666666666666,1.0,95.0,84.66666666666667,12580.333333333334,6466.666666666667,-4.0,blue win,"Kennen , Camille",1.5,6.0,2.0,112.5,115.5,13990.5,14980.0,2.0,blue win,"Sylas , Azir",3.1666666666666665,7.666666666666667,1.1666666666666667,139.25,132.25,13776.75,14122.0,10.0,blue win,"Xayah , Lucian",4.8,5.6,1.2,129.42857142857142,133.0,16657.428571428572,16006.714285714286,6.0,blue win,"Rakan , Lux",0.6666666666666666,9.88888888888889,2.6666666666666665,6.0,6.888888888888889,8840.444444444445,4118.111111111111,-10.0
1092362,blue win,"Olaf , Sejuani",4.1,6.8,1.3,88.66666666666667,83.66666666666667,13001.555555555555,11164.222222222223,-4.0,blue win,"Kennen , Irelia",4.75,4.75,2.25,115.5,146.5,14619.0,20185.0,6.0,blue win,"Sylas , Azir",3.1666666666666665,7.666666666666667,1.1666666666666667,139.25,132.25,13776.75,14122.0,10.0,blue win,"Xayah , Ezreal",5.8,5.0,1.15,142.33333333333334,132.83333333333334,17633.5,20947.444444444445,0.0,blue win,"Rakan , Galio",0.2857142857142857,12.285714285714286,1.2857142857142858,5.571428571428571,21.142857142857142,8507.42857142857,3509.1428571428573,2.0
