gameid,league,playerid,gamelength,team,goldat10,oppgoldat10,gdat10,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,blue_result
991789,LCK,100,45.21666666666667,KT Rolster,15733.0,15847.0,-114.0,19042.0,18300.0,742.0,327.0,332.0,-5.0,"Blue , 1"
981807,LCK,100,28.7,Jin Air Green Wings,17653.0,16094.0,1559.0,19219.0,19027.0,192.0,318.0,349.0,-31.0,"Blue , 0"
991935,LCK,100,40.56666666666667,Damwon Gaming,16303.0,16075.0,228.0,19058.0,18264.0,794.0,331.0,318.0,13.0,"Blue , 0"
982269,LCK,100,26.133333333333333,Kingzone DragonX,16026.0,15178.0,848.0,19122.0,18458.0,664.0,354.0,324.0,30.0,"Blue , 1"
982307,LCK,100,33.03333333333333,Afreeca Freecs,15853.0,15514.0,339.0,17693.0,18477.0,-784.0,314.0,319.0,-5.0,"Blue , 0"
982326,LCK,100,29.366666666666667,Sandbox Gaming,16264.0,15604.0,660.0,19497.0,19011.0,486.0,352.0,338.0,14.0,"Blue , 1"
982393,LCK,100,34.06666666666667,Hanwha Life Esports,15712.0,14387.0,1325.0,18146.0,17889.0,257.0,326.0,300.0,26.0,"Blue , 0"
1070616,LEC,100,32.5,Vitality,16171.0,14847.0,1324.0,17341.0,17122.0,219.0,317.0,262.0,55.0,"Blue , 1"
1080609,LEC,100,34.483333333333334,Rogue,15369.0,17112.0,-1743.0,18474.0,19764.0,-1290.0,313.0,341.0,-28.0,"Blue , 0"
1080616,LEC,100,44.63333333333333,G2 Esports,16481.0,14682.0,1799.0,19527.0,19006.0,521.0,338.0,309.0,29.0,"Blue , 1"
1080623,LEC,100,40.55,Schalke 04,15280.0,15888.0,-608.0,18553.0,19167.0,-614.0,330.0,351.0,-21.0,"Blue , 1"
1080636,LEC,100,31.2,Origen,15510.0,16589.0,-1079.0,18905.0,18825.0,80.0,333.0,324.0,9.0,"Blue , 0"
1070772,LEC,100,38.38333333333333,Schalke 04,16538.0,14612.0,1926.0,18747.0,17703.0,1044.0,283.0,305.0,-22.0,"Blue , 1"
1070799,LEC,100,28.566666666666666,SK Gaming,16515.0,14666.0,1849.0,19177.0,19149.0,28.0,348.0,328.0,20.0,"Blue , 1"
1070838,LEC,100,31.483333333333334,Splyce,16479.0,15617.0,862.0,20119.0,18342.0,1777.0,366.0,340.0,26.0,"Blue , 1"
1070856,LEC,100,26.55,Misfits,16479.0,16315.0,164.0,19411.0,19029.0,382.0,317.0,318.0,-1.0,"Blue , 0"
992625,LCS,100,36.36666666666667,Team Liquid,15965.0,15557.0,408.0,19381.0,17710.0,1671.0,311.0,306.0,5.0,"Blue , 1"
992641,LCS,100,34.983333333333334,100 Thieves,16386.0,15342.0,1044.0,19699.0,19150.0,549.0,361.0,330.0,31.0,"Blue , 0"
992659,LCS,100,36.55,Counter Logic Gaming,15636.0,16266.0,-630.0,18926.0,19112.0,-186.0,315.0,347.0,-32.0,"Blue , 0"
992680,LCS,100,32.55,FlyQuest,15539.0,16628.0,-1089.0,19691.0,20214.0,-523.0,341.0,376.0,-35.0,"Blue , 1"
992686,LCS,100,39.1,Clutch Gaming,16010.0,15553.0,457.0,19226.0,19269.0,-43.0,349.0,340.0,9.0,"Blue , 1"
982640,LCK,100,37.35,SK Telecom T1,16273.0,15545.0,728.0,19058.0,19467.0,-409.0,315.0,318.0,-3.0,"Blue , 1"
992747,LCK,100,33.15,Damwon Gaming,16159.0,16957.0,-798.0,19354.0,19146.0,208.0,313.0,337.0,-24.0,"Blue , 1"
982686,LCK,100,32.833333333333336,Jin Air Green Wings,14995.0,15565.0,-570.0,18526.0,19105.0,-579.0,327.0,346.0,-19.0,"Blue , 0"
992771,LCK,100,39.68333333333333,Gen.G,15715.0,15291.0,424.0,19109.0,18515.0,594.0,349.0,318.0,31.0,"Blue , 0"
992779,LCK,100,31.583333333333332,Jin Air Green Wings,14593.0,15689.0,-1096.0,18232.0,19178.0,-946.0,314.0,344.0,-30.0,"Blue , 0"
1033215,LMS,100,30.75,Dragon Gate Team,15781.0,17608.0,-1827.0,18264.0,18954.0,-690.0,290.0,301.0,-11.0,"Blue , 0"
991418,LMS,100,39.56666666666667,Dragon Gate Team,16555.0,17409.0,-854.0,19976.0,19112.0,864.0,329.0,317.0,12.0,"Blue , 0"
1033234,LMS,100,32.083333333333336,MAD Team,14826.0,17813.0,-2987.0,18562.0,20501.0,-1939.0,311.0,381.0,-70.0,"Blue , 1"
991431,LMS,100,28.55,Hong Kong Attitude,16066.0,15535.0,531.0,18684.0,18697.0,-13.0,329.0,327.0,2.0,"Blue , 1"
1033261,LMS,100,28.966666666666665,MAD Team,15226.0,15424.0,-198.0,18290.0,18997.0,-707.0,322.0,325.0,-3.0,"Blue , 0"
991896,LMS,100,30.383333333333333,AHQ e-Sports Club,15242.0,15214.0,28.0,19507.0,18742.0,765.0,323.0,326.0,-3.0,"Blue , 1"
991993,LMS,100,27.466666666666665,AHQ e-Sports Club,16749.0,15299.0,1450.0,18822.0,18737.0,85.0,328.0,310.0,18.0,"Blue , 1"
992016,LMS,100,37.56666666666667,J Team,16095.0,15641.0,454.0,19077.0,19405.0,-328.0,328.0,353.0,-25.0,"Blue , 0"
1000596,LMS,100,44.06666666666667,J Team,14430.0,15779.0,-1349.0,18560.0,19770.0,-1210.0,306.0,346.0,-40.0,"Blue , 1"
981988,LMS,100,28.0,Alpha Esports,16409.0,14926.0,1483.0,18906.0,17467.0,1439.0,326.0,297.0,29.0,"Blue , 1"
982306,LMS,100,34.166666666666664,Dragon Gate Team,15933.0,15574.0,359.0,18619.0,18849.0,-230.0,313.0,302.0,11.0,"Blue , 0"
992526,LMS,100,31.983333333333334,Dragon Gate Team,17102.0,16148.0,954.0,18548.0,18752.0,-204.0,318.0,291.0,27.0,"Blue , 0"
982399,LMS,100,30.583333333333332,Hong Kong Attitude,15892.0,15332.0,560.0,19226.0,18738.0,488.0,309.0,319.0,-10.0,"Blue , 1"
1000687,LMS,100,37.0,Alpha Esports,16190.0,15411.0,779.0,17906.0,17394.0,512.0,295.0,297.0,-2.0,"Blue , 0"
992840,LCS,100,40.1,FlyQuest,15509.0,16399.0,-890.0,18767.0,18607.0,160.0,341.0,325.0,16.0,"Blue , 1"
992857,LCS,100,25.483333333333334,Cloud9,17391.0,15330.0,2061.0,20270.0,19403.0,867.0,364.0,338.0,26.0,"Blue , 1"
992872,LCS,100,33.483333333333334,Team Liquid,15223.0,15438.0,-215.0,19221.0,18386.0,835.0,336.0,331.0,5.0,"Blue , 1"
992889,LCS,100,33.083333333333336,Clutch Gaming,15473.0,17000.0,-1527.0,18051.0,20578.0,-2527.0,321.0,333.0,-12.0,"Blue , 1"
992903,LCS,100,35.96666666666667,Echo Fox,17003.0,15908.0,1095.0,20664.0,19928.0,736.0,385.0,320.0,65.0,"Blue , 1"
992579,CBLoL,100,25.1,Vivo Keyd,18694.0,14228.0,4466.0,20552.0,17236.0,3316.0,323.0,284.0,39.0,"Blue , 1"
992586,CBLoL,100,41.61666666666667,Redemption eSports,15736.0,16173.0,-437.0,18292.0,19551.0,-1259.0,327.0,331.0,-4.0,"Blue , 1"
992600,CBLoL,100,28.6,Flamengo eSports,17697.0,14347.0,3350.0,20345.0,17326.0,3019.0,328.0,281.0,47.0,"Blue , 1"
992604,CBLoL,100,36.583333333333336,CNB e-Sports Club,15853.0,15200.0,653.0,19513.0,18255.0,1258.0,333.0,331.0,2.0,"Blue , 0"
982737,CBLoL,100,43.6,INTZ e-Sports,16221.0,16028.0,193.0,19581.0,18356.0,1225.0,319.0,315.0,4.0,"Blue , 1"
982743,CBLoL,100,41.516666666666666,CNB e-Sports Club,15717.0,16187.0,-470.0,19448.0,20068.0,-620.0,318.0,358.0,-40.0,"Blue , 0"
982765,CBLoL,100,30.1,Flamengo eSports,16113.0,15684.0,429.0,19613.0,18996.0,617.0,334.0,359.0,-25.0,"Blue , 1"
982778,CBLoL,100,27.6,Redemption eSports,14820.0,16978.0,-2158.0,17826.0,18863.0,-1037.0,301.0,329.0,-28.0,"Blue , 0"
890228,LEC,100,25.3,SK Gaming,16151.0,15889.0,262.0,18696.0,18550.0,146.0,314.0,320.0,-6.0,"Blue , 0"
890254,LEC,100,32.03333333333333,Fnatic,14706.0,15726.0,-1020.0,18347.0,18884.0,-537.0,311.0,310.0,1.0,"Blue , 1"
890269,LEC,100,34.61666666666667,Excel Esports,15422.0,15390.0,32.0,17502.0,18401.0,-899.0,312.0,328.0,-16.0,"Blue , 1"
890276,LEC,100,43.2,Vitality,14758.0,15256.0,-498.0,17952.0,18596.0,-644.0,317.0,305.0,12.0,"Blue , 1"
890340,LEC,100,39.983333333333334,G2 Esports,16284.0,16070.0,214.0,18115.0,18513.0,-398.0,307.0,289.0,18.0,"Blue , 1"
890353,LEC,100,29.85,Excel Esports,15009.0,16586.0,-1577.0,18265.0,18585.0,-320.0,273.0,339.0,-66.0,"Blue , 0"
890362,LEC,200,37.11666666666667,Origen,16583.0,16175.0,408.0,18993.0,19171.0,-178.0,335.0,319.0,16.0,"Red , 1"
890368,LEC,100,33.266666666666666,Rogue,15151.0,15578.0,-427.0,18115.0,18001.0,114.0,289.0,324.0,-35.0,"Blue , 0"
890377,LEC,100,33.71666666666667,Misfits,15851.0,13640.0,2211.0,18484.0,17828.0,656.0,330.0,273.0,57.0,"Blue , 1"
1050537,LCK,100,41.516666666666666,Damwon Gaming,15686.0,16214.0,-528.0,18620.0,19062.0,-442.0,344.0,348.0,-4.0,"Blue , 0"
1050551,LCK,100,23.6,Sandbox Gaming,15192.0,17416.0,-2224.0,17738.0,18677.0,-939.0,284.0,336.0,-52.0,"Blue , 0"
1060524,LCK,100,40.43333333333333,Damwon Gaming,14850.0,15602.0,-752.0,17253.0,18525.0,-1272.0,288.0,342.0,-54.0,"Blue , 0"
1050569,LCK,100,57.43333333333333,Afreeca Freecs,16256.0,14814.0,1442.0,18892.0,17208.0,1684.0,332.0,317.0,15.0,"Blue , 1"
