matchup,kills,deaths,assists,csat15,oppcsat15,total_gold,damage
"Bard , Taric",1.0,2.0,11.0,,,,
"Braum , Galio",1.0,2.0,3.0,21.0,83.0,12121.0,4064.0
"Braum , Leona",0.0,0.0,13.0,21.0,20.0,7674.0,4771.0
"Braum , Lux",0.6666666666666666,1.3333333333333333,8.0,22.5,2.5,8006.5,3588.5
"Braum , Morgana",1.0,0.0,10.0,93.0,11.0,12266.0,5870.0
"Braum , Nautilus",0.5,2.6,11.7,24.5,25.375,9528.75,4912.625
"Braum , Rakan",0.6666666666666666,1.6666666666666667,15.0,22.0,5.0,6964.5,3976.0
"Braum , Shen",1.0,0.0,15.0,27.0,32.0,9111.0,5174.0
"Braum , Tahm Kench",0.6842105263157895,1.368421052631579,10.68421052631579,28.11764705882353,28.294117647058822,9709.470588235294,4855.176470588235
"Braum , Thresh",0.0,3.5,12.5,22.5,11.5,8186.0,3397.0
"Braum , Yuumi",2.0,0.0,10.0,25.0,7.0,10484.0,4798.0
"Caitlyn , Ashe",4.5,0.5,5.0,,,,
"Caitlyn , Ezreal",4.0,0.0,4.0,,,,
"Caitlyn , Lucian",5.0,1.0,6.0,,,,
"Caitlyn , Sivir",4.5,1.0,8.0,144.0,136.0,19734.5,31901.5
"Caitlyn , Sona",6.0,0.0,3.5,147.0,87.0,10733.0,7191.0
"Caitlyn , Varus",8.0,1.0,3.0,127.0,127.0,15984.0,20388.0
"Caitlyn , Xayah",3.8333333333333335,1.3333333333333333,6.5,147.4,130.8,14988.4,16637.4
"Camille , Aatrox",5.0,1.1,4.4,120.33333333333333,120.0,14856.111111111111,14368.0
"Camille , Azir",2.5,2.5,8.5,106.0,144.0,12647.0,8958.5
"Camille , Gnar",2.0,4.0,5.0,121.0,88.0,15051.0,17981.0
"Camille , Irelia",5.5,1.5,9.5,121.0,138.5,12800.0,15523.5
"Camille , Jarvan IV",2.0,4.0,5.0,119.0,110.0,11311.0,9543.0
"Camille , Jax",4.0,2.0,8.0,,,,
"Camille , Jayce",3.0,2.0,8.333333333333334,107.0,134.33333333333334,13219.666666666666,10490.333333333334
"Camille , Karma",7.0,0.0,1.0,127.0,122.0,16563.0,9642.0
"Camille , Kennen",3.0,2.0,4.0,133.0,137.0,14232.0,8414.0
"Camille , Lissandra",6.0,1.0,4.0,149.0,155.0,15937.0,12732.0
"Camille , Mordekaiser",0.0,2.0,7.0,118.0,105.0,9422.0,6983.0
"Camille , Neeko",6.0,1.0,4.0,119.0,146.0,15354.0,11745.0
"Camille , Pyke",8.0,0.0,13.0,129.0,117.0,14331.0,16821.0
"Camille , Rek'Sai",3.0,0.0,7.0,,,,
"Camille , Renekton",6.0,1.0,7.5,126.0,133.0,14983.5,21049.0
"Camille , Sylas",5.5,0.5,6.5,141.0,143.0,12760.0,7388.0
"Camille , Syndra",2.0,5.0,3.0,,,,
"Camille , Vladimir",6.666666666666667,2.6666666666666665,6.333333333333333,120.0,115.0,16335.5,25268.5
"Camille , Yasuo",3.0,2.0,7.0,141.0,139.0,15243.0,14032.0
"Cassiopeia , Corki",1.5,1.5,5.5,150.5,144.0,12963.0,17099.0
"Cassiopeia , Vel'koz",2.0,1.0,9.0,,,,
"Cassiopeia , Vladimir",2.0,0.0,4.0,152.0,140.0,11431.0,12323.0
"Corki , Aatrox",3.8,1.6,5.8,150.0,137.0,14310.666666666666,24070.666666666668
"Corki , Akali",5.5,2.5,8.0,148.5,124.0,17641.5,39346.5
"Corki , Azir",4.36,0.76,5.2,148.2608695652174,147.82608695652175,15228.91304347826,18717.956521739132
"Corki , Camille",5.0,1.0,7.0,130.0,126.0,16621.0,29465.0
"Corki , Cassiopeia",5.0,1.6666666666666667,8.0,154.5,144.5,14530.5,18645.5
"Corki , Irelia",2.0,1.0,8.5,144.5,143.0,15461.5,17069.5
"Corki , Jayce",6.0,1.0,7.0,139.0,136.0,15346.0,24340.0
"Corki , Karma",2.5,0.5,4.0,154.5,143.0,16739.0,29025.5
"Corki , Kassadin",5.0,2.0,2.0,,,,
"Corki , Kennen",7.0,3.0,4.0,,,,
"Corki , LeBlanc",4.0,2.3333333333333335,4.0,137.0,129.33333333333334,15171.0,22455.0
"Corki , Lissandra",3.0,1.0,8.0,159.5,145.0,15832.5,17174.5
"Corki , Lucian",3.0,1.0,10.0,145.0,151.0,14146.0,24263.0
"Corki , Nautilus",4.0,2.0,5.0,143.0,112.0,12170.0,11450.0
"Corki , Neeko",3.5,0.5,3.5,153.5,136.0,14608.5,18000.5
"Corki , Orianna",6.0,3.0,11.0,163.0,145.0,17255.0,28745.0
"Corki , Renekton",4.0,0.0,0.0,,,,
"Corki , Ryze",5.0,2.0,2.0,169.0,153.0,15122.0,17015.0
"Corki , Sylas",4.0,1.0,5.0,160.0,150.0,18018.0,26443.0
"Corki , Taliyah",1.0,0.0,1.0,162.0,143.0,12818.0,14964.0
"Corki , Twisted Fate",10.0,0.0,11.0,170.0,132.0,20009.0,28517.0
"Corki , Veigar",6.0,1.0,4.0,130.0,143.0,21183.0,40091.0
"Corki , Vel'koz",3.0,1.0,9.0,148.0,155.0,12066.0,10423.0
"Corki , Vladimir",2.0,1.5,5.0,144.5,135.0,16350.0,25601.0
"Corki , Zed",4.0,0.0,4.0,156.0,121.0,12944.0,13412.0
"Corki , Zoe",5.0,0.0,3.0,133.0,159.0,18150.0,28985.0
"Dr. Mundo , Fiora",3.0,3.0,8.0,,,,
"Draven , Ezreal",3.0,1.0,4.75,149.5,142.0,15712.5,12341.75
"Draven , Kai'Sa",6.0,4.0,10.0,,,,
"Draven , Lucian",6.0,1.0,7.0,145.0,131.0,16418.0,18010.0
"Draven , Sivir",5.5,2.0,3.5,139.0,121.0,15503.0,10857.0
"Draven , Sona",3.5,1.0,5.5,139.5,64.0,15085.0,16450.0
"Draven , Xayah",7.0,3.0,3.0,119.0,117.0,14964.0,14539.0
"Ekko , Azir",4.0,3.0,3.0,141.0,140.0,13127.0,15639.0
"Elise , Aatrox",2.0,5.0,17.0,,,,
"Elise , Gragas",2.0,0.0,5.0,81.0,74.0,11156.0,7833.0
"Elise , Hecarim",2.0,1.0,5.0,90.0,85.0,8630.0,5556.0
"Elise , Jarvan IV",2.25,0.75,4.75,78.33333333333333,83.66666666666667,10361.0,8601.333333333334
"Elise , Kindred",5.0,1.0,8.0,78.0,85.0,11926.0,14475.0
"Elise , Lee Sin",2.3333333333333335,1.6666666666666667,4.5,80.0,81.0,10317.5,8871.75
"Elise , Nocturne",2.0,0.0,7.0,70.0,84.0,9060.0,4855.0
"Elise , Olaf",7.0,0.0,5.0,72.0,88.0,10828.0,10526.0
"Elise , Rek'Sai",3.75,1.75,7.5,87.5,81.5,12418.0,11224.0
"Elise , Sejuani",3.6666666666666665,2.0,7.0,76.0,73.0,11793.0,12979.0
"Elise , Skarner",5.0,1.0,11.0,91.0,71.0,9903.0,7614.0
"Elise , Sylas",1.0,3.0,9.0,75.0,84.0,11142.0,11327.0
"Elise , Xin Zhao",2.0,1.75,6.0,79.66666666666667,86.0,10924.0,7672.0
"Evelynn , Elise",3.0,1.0,6.0,88.0,93.0,11717.0,11210.0
"Ezreal , Ashe",4.0,1.0,6.666666666666667,130.33333333333334,148.0,14820.0,25712.333333333332
"Ezreal , Caitlyn",4.5,1.5,3.5,161.0,121.0,13581.0,22153.0
"Ezreal , Draven",7.0,1.0,3.0,145.0,133.0,14610.0,20326.0
"Ezreal , Jinx",2.0,0.0,3.0,153.0,153.0,23256.0,25716.0
"Ezreal , Kai'Sa",3.5,1.0,6.125,145.25,140.625,14483.5,20170.875
"Ezreal , Kaisa",5.0,1.0,6.0,,,,
"Ezreal , Kalista",5.0,1.0,5.5,134.0,142.0,17985.5,35617.5
"Ezreal , Lucian",5.5,0.5,5.0,136.0,137.33333333333334,14085.0,20688.0
"Ezreal , Pantheon",5.0,2.0,7.0,115.0,77.0,12342.0,12866.0
